Gene ID,Trophs , Trophs  Low Glucose ,Cysts 1wk Robinsons,Cysts 3wk Robinsons ,Cysts 8wk Robinsons 
EHI_153360,4.14,4.05,6.54,7.45,5.55
EHI_092160,7.52,7.87,7.79,7.43,7.65
EHI_182610,5.86,6.44,5.98,5.57,5.49
EHI_051440,4.11,5.74,5.34,6.81,5.07
EHI_168310,3.95,3.49,3.67,4.47,3.19
EHI_092700,5.09,4.75,5.98,5.96,4.24
EHI_142140,6.79,6.91,6.43,5.89,6.04
EHI_013340,7.1,6.53,6.44,5.56,5.24
EHI_130710,4.46,4.24,5.42,6.25,5.18
EHI_007310,4.99,5.08,5.34,5.39,4.99
EHI_000500,4.46,4.96,4.25,4.38,4.36
EHI_001090,6.14,6.03,7.15,6.99,6.5
EHI_053000,7.4,7.81,6.26,6.3,4.44
EHI_128200,2.97,2.93,3.14,3.65,3
EHI_063550,9.96,10.41,8.08,8.39,7.65
EHI_008130,9.45,9.94,9.29,9.83,9.32
EHI_093700,4.61,4.07,5.03,5.8,4.94
EHI_009930,3.77,3.36,5.18,6.2,4.4
EHI_155580,6.22,6.38,8.4,7.53,6.53
EHI_135150,7.02,6.45,6.28,6.62,6.48
EHI_012420,9.96,10.41,8.08,8.39,7.65
EHI_136420,4.97,4.37,7.12,5.83,5.91
EHI_074810,6.11,6.47,5.07,5.09,5.19
EHI_133220,2.97,2.96,3.12,3.59,3
EHI_197980,6.28,6.33,7.04,8.37,7.03
EHI_148140,7.28,6.58,7.56,7.24,7.36
EHI_001110,6.45,7.4,7.71,7.41,7.08
EHI_098070,4.21,4.31,5.57,4.72,4.07
EHI_129790,6.35,6.57,7.77,7.26,7.92
EHI_038640,5.06,4.75,6.61,6.9,6.42
EHI_133550,5.21,5.45,5.7,5.98,5.33
EHI_130060,4.61,4.07,5.03,5.8,4.94
EHI_009820,N/A,N/A,N/A,N/A,N/A
EHI_166410,N/A,N/A,N/A,N/A,N/A