Gene ID,Trophozoite basal
EHI_153360,5.05
EHI_092160,22.77
EHI_182610,73.35
EHI_051440,7.63
EHI_168310,0.82
EHI_092700,7.34
EHI_142140,2.96
EHI_013340,8.4
EHI_130710,0.72
EHI_007310,1.87
EHI_000500,0.5
EHI_001090,3.19
EHI_053000,49.86
EHI_128200,1.34
EHI_063550,17.35
EHI_008130,36.83
EHI_093700,0.03
EHI_009930,2.19
EHI_155580,6.01
EHI_009820,5.61
EHI_135150,60.7
EHI_012420,19.68
EHI_136420,5.99
EHI_166410,21.36
EHI_074810,27.1
EHI_133220,0.11
EHI_197980,18.29
EHI_148140,8.14
EHI_001110,0.39
EHI_098070,4.23
EHI_129790,59.48
EHI_038640,7.2
EHI_133550,1.9
EHI_130060,0.47